[Sun Nov 03 08:20:28.987642 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  11. Symfony\\Component\\DependencyInjection\\Container->get() /home/fabex/dev/adstSF2/app/cache/dev/appDevDebugProjectContainer.php:583
[Sun Nov 03 08:20:28.987653 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  12. appDevDebugProjectContainer->getFabexSubTitleProvider_BetaserieService() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:1975
[Sun Nov 03 08:20:28.987659 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  13. spl_autoload_call() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:555
[Sun Nov 03 08:20:28.987665 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  14. Symfony\\Component\\ClassLoader\\DebugClassLoader->loadClass() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:0
[Sun Nov 03 08:20:28.987674 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  15. require() /home/fabex/dev/adstSF2/vendor/symfony/symfony/src/Symfony/Component/ClassLoader/DebugClassLoader.php:96
[Sun Nov 03 08:20:28.987679 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  16. spl_autoload_call() /home/fabex/dev/adstSF2/vendor/symfony/symfony/src/Symfony/Component/ClassLoader/DebugClassLoader.php:13
[Sun Nov 03 08:20:28.987685 2013] [:error] [pid 6746] [client 127.0.0.1:57561] PHP  17. Symfony\\Component\\ClassLoader\\DebugClassLoader->loadClass() /home/fabex/dev/adstSF2/vendor/symfony/symfony/src/Symfony/Component/ClassLoader/DebugClassLoader.php:0
[Sun Nov 03 08:30:54.574861 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP Parse error:  syntax error, unexpected '}' in /home/fabex/dev/adstSF2/src/Fabex/Bundle/SubTitleProviderBundle/Services/Providers/AddictedProvider.php on line 16
[Sun Nov 03 08:30:54.574895 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP Stack trace:
[Sun Nov 03 08:30:54.574912 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   1. {main}() /home/fabex/dev/adstSF2/web/app_dev.php:0
[Sun Nov 03 08:30:54.574926 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   2. Symfony\\Component\\HttpKernel\\Kernel->handle() /home/fabex/dev/adstSF2/web/app_dev.php:28
[Sun Nov 03 08:30:54.574940 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   3. Symfony\\Component\\HttpKernel\\DependencyInjection\\ContainerAwareHttpKernel->handle() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2249
[Sun Nov 03 08:30:54.574953 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   4. Symfony\\Component\\HttpKernel\\HttpKernel->handle() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2947
[Sun Nov 03 08:30:54.574965 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   5. Symfony\\Component\\HttpKernel\\HttpKernel->handleRaw() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2818
[Sun Nov 03 08:30:54.574977 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   6. call_user_func_array() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2844
[Sun Nov 03 08:30:54.574990 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   7. Fabex\\Bundle\\SubTitleProviderBundle\\Controller\\DefaultController->getSubTitleAction() /home/fabex/dev/adstSF2/app/bootstrap.php.cache:2844
[Sun Nov 03 08:30:54.575004 2013] [:error] [pid 6600] [client 127.0.0.1:57628] PHP   8. Symfony\\Bundle\\FrameworkBundle\\Controller\\Controller->get() /home/fabex/dev/adstSF2/src/Fabex/Bundle/SubTitleProviderBundle/Controller/DefaultController.php:17
